2024.06.24 18:22:03 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarJava / 5.9.2.16552 / 293a758c27e64839893f15a684a13bcd769e26b8
2024.06.24 18:22:03 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarKotlin / 1.4.0.155 / f71ae433edd0c1f1dbab3fed4d755ef17aef8573
2024.06.24 18:22:03 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPHP / 2.15.0.4060 / 307e5583b6d098c7bc13a22b7738e76a13c74e5d
2024.06.24 18:22:03 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPython / 1.10.0.2131 / a00e0ddc83bbeb01a9ee7475fab9eafe3f4096ac
2024.06.24 18:22:03 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarRuby / 1.4.0.155 / f71ae433edd0c1f1dbab3fed4d755ef17aef8573
2024.06.24 18:22:03 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarScala / 1.4.0.155 / f71ae433edd0c1f1dbab3fed4d755ef17aef8573
2024.06.24 18:22:03 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarTS / 1.8.0.3332 / af8e41ab1a72ba3cc28b0e3e9e065a0ccb47d31d
2024.06.24 18:22:03 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarVB / 7.9.1.7622 / b239ff9d7ecaae9d252825b6d71c9d98e2d20ec1
2024.06.24 18:22:03 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarXML / 1.5.1.1452 / eadc1dcd0e24a3c77068e3c1d41af0327d6b16ea
2024.06.24 18:22:03 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Svn / 1.9.0.1295 / 942e075773975354e32691a60bfd968065703e04
2024.06.24 18:22:04 INFO  web[][o.s.s.p.d.m.c.PostgresCharsetHandler] Verify that database charset supports UTF8
2024.06.24 18:22:04 INFO  web[][o.s.s.p.d.m.AutoDbMigration] Automatically perform DB migration on fresh install
2024.06.24 18:22:04 INFO  web[][DbMigrations] Executing DB migrations...
2024.06.24 18:22:04 INFO  web[][DbMigrations] #1 'Create initial schema'...
2024.06.24 18:22:04 INFO  web[][DbMigrations] #1 'Create initial schema': success | time=246ms
2024.06.24 18:22:04 INFO  web[][DbMigrations] #2 'Populate initial schema'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #2 'Populate initial schema': success | time=65ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1153 'Populate columns USERS.EXTERNAL_IDENTITY_*'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 users processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1153 'Populate columns USERS.EXTERNAL_IDENTITY_*': success | time=7ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1200 'Create table PERM_TPL_CHARACTERISTICS'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1200 'Create table PERM_TPL_CHARACTERISTICS': success | time=5ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1205 'Drop index resource_index_rid from RESOURCE_INDEX'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1205 'Drop index resource_index_rid from RESOURCE_INDEX': success | time=3ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1207 'Drop unused columns on PROJECT_MEASURES'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1207 'Drop unused columns on PROJECT_MEASURES': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1208 'Add columns SNAPSHOTS.*COMPONENT_UUID'...
